tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
215,2018-01-08T15:15:08.168000,2018-01-08T15:18:43.297000,3159,W 67 St & Broadway,40.77492513,-73.98266566,3173,Riverside Blvd & W 67 St,40.777507027547976,-73.988885879516587,15933,Subscriber,1999,male,
1381,2018-05-08T19:00:25.338000,2018-05-08T19:23:26.681000,394,E 9 St & Avenue C,40.72521311,-73.97768752,442,W 27 St & 7 Ave,40.746647,-73.993915,26851,Subscriber,1996,female,
1305,2018-03-02T09:50:01.383000,2018-03-02T10:11:46.946000,433,E 13 St & Avenue A,40.72955361,-73.98057249,490,8 Ave & W 33 St,40.751551,-73.993934,18151,Subscriber,1997,female,
648,2018-03-28T09:15:04.491000,2018-03-28T09:25:52.743000,3323,W 106 St & Central Park West,40.7981856,-73.9605909006,3529,Lenox Ave & W 130 St,40.8107922,-73.9430681,30800,Subscriber,1950,male,
1118,2018-03-03T12:35:02.442000,2018-03-03T12:53:41.297000,238,Bank St & Washington St,40.7361967,-74.00859207,492,W 33 St & 7 Ave,40.75019995,-73.99093085,18140,Subscriber,1940,male,
1045,2018-05-06T16:26:07.148000,2018-05-06T16:43:32.478000,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,3165,Central Park West & W 72 St,40.775793766836657,-73.9762057363987,30209,Subscriber,1945,male,
9847,2017-09-23T20:08:18,2017-09-23T22:52:26,3342,Pioneer St & Richards St,40.6777748,-74.0094613,3342,Pioneer St & Richards St,40.6777748,-74.0094613,25818,Subscriber,1999,male,
415,2017-07-10T07:35:17,2017-07-10T07:42:13,504,1 Ave & E 16 St,40.73221853,-73.98165557,253,W 13 St & 5 Ave,40.73543934,-73.99453948,28513,Subscriber,1996,female,
1187,2017-09-30T13:31:17,2017-09-30T13:51:05,238,Bank St & Washington St,40.7361967,-74.00859207,251,Mott St & Prince St,40.72317958,-73.99480012,19492,Subscriber,1998,female,
330,2017-09-27T05:45:29,2017-09-27T05:51:00,3399,7 St & 3 Ave,40.672602981501257,-73.989830017089844,3317,10 St & 5 Ave,40.6686273,-73.98700053,26649,Subscriber,1946,male,
378,2017-07-25T21:40:35,2017-07-25T21:46:54,3461,Murray St & Greenwich St,40.714851505262516,-74.011223316192627,363,West Thames St,40.70834698,-74.01713445,26451,Subscriber,2000,female,
1983,2017-09-12T09:17:28,2017-09-12T09:50:31,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,492,W 33 St & 7 Ave,40.75019995,-73.99093085,27785,Subscriber,1943,male,
628,2018-02-21T13:03:53.774000,2018-02-21T13:14:22.331000,3536,W 116 St & Broadway,40.8082,-73.9641,3343,W 107 St & Columbus Ave,40.7997568,-73.9621128676,16362,Subscriber,1997,female,
344,2018-03-22T20:58:08.412000,2018-03-22T21:03:53.007000,467,Dean St & 4 Ave,40.68312489,-73.97895137,3415,Prospect Pl & 6 Ave,40.6793307,-73.97519523,30603,Subscriber,1951,male,
1533,2017-09-12T10:08:05,2017-09-12T10:33:39,3467,W Broadway & Spring Street,40.724946723594158,-74.00165855884552,466,W 25 St & 6 Ave,40.74395411,-73.99144871,14720,Subscriber,1944,male,
1132,2018-01-25T20:13:53.377000,2018-01-25T20:32:46.082000,237,E 11 St & 2 Ave,40.73047309,-73.98672378,494,W 26 St & 8 Ave,40.74734825,-73.99723551,29382,Subscriber,1999,male,
631,2017-06-29T21:41:12,2017-06-29T21:51:44,545,E 23 St & 1 Ave,40.736502,-73.97809472,394,E 9 St & Avenue C,40.72521311,-73.97768752,15530,Subscriber,1996,male,
1563,2017-07-26T17:30:32,2017-07-26T17:56:36,332,Cherry St,40.71219906,-73.97948148,426,West St & Chambers St,40.71754834,-74.01322069,29799,Subscriber,1947,male,
204,2017-09-10T11:45:09,2017-09-10T11:48:34,3486,Schermerhorn St & Bond St,40.688417427540834,-73.984516561031342,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,28060,Subscriber,1952,male,
1163,2017-07-20T13:59:17,2017-07-20T14:18:40,3243,E 58 St & 1 Ave,40.75892386377695,-73.962262272834778,3305,E 91 St & 2 Ave,40.781122299341661,-73.949655890464783,15337,Subscriber,1952,male,
1057,2017-06-27T09:38:29,2017-06-27T09:56:07,3331,Riverside Dr & W 104 St,40.8013434,-73.9711457439,508,W 46 St & 11 Ave,40.76341379,-73.99667444,21020,Subscriber,2000,male,
969,2017-10-20T20:45:11,2017-10-20T21:01:21,377,6 Ave & Canal St,40.72243797,-74.00566443,405,Washington St & Gansevoort St,40.739323,-74.008119,20187,Subscriber,1998,male,
444,2017-06-10T18:35:22,2017-06-10T18:42:47,3298,Warren St & Court St,40.686371,-73.99383324,3386,1 Pl & Clinton St,40.6809591,-73.99905709,18768,Subscriber,1950,female,
209,2018-02-03T00:32:02.200000,2018-02-03T00:35:32.017000,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,30946,Subscriber,1998,male,
714,2017-07-13T08:48:42,2017-07-13T09:00:37,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,249,Harrison St & Hudson St,40.71870987,-74.0090009,26590,Subscriber,1949,male,
904,2018-01-28T19:01:27.414000,2018-01-28T19:16:32.171000,3142,1 Ave & E 62 St,40.7612274,-73.96094022,497,E 17 St & Broadway,40.73704984,-73.99009296,25766,Subscriber,1996,male,
302,2017-09-02T14:18:03,2017-09-02T14:23:05,3408,Congress St & Clinton St,40.6881529,-73.99520919,3422,Columbia St & Degraw St,40.6859296,-74.00242364,16142,Subscriber,1945,male,
831,2017-09-04T15:15:34,2017-09-04T15:29:25,328,Watts St & Greenwich St,40.72405549,-74.00965965,405,Washington St & Gansevoort St,40.739323,-74.008119,26808,Subscriber,1951,male,
262,2018-01-27T19:37:01.554000,2018-01-27T19:41:23.944000,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,317,E 6 St & Avenue B,40.72453734,-73.98185424,32126,Subscriber,1999,male,
285,2017-07-08T09:57:58,2017-07-08T10:02:44,3435,Grand St & Elizabeth St,40.718822,-73.99596,295,Pike St & E Broadway,40.71406667,-73.99293911,27817,Subscriber,1998,male,
330,2018-03-01T15:56:47.473000,2018-03-01T16:02:18.123000,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,3656,E 2 St & Avenue A,40.723077490686727,-73.985836207866669,16473,Subscriber,1900,male,
879,2017-07-19T11:42:34,2017-07-19T11:57:14,440,E 45 St & 3 Ave,40.75255434,-73.97282625,486,Broadway & W 29 St,40.7462009,-73.98855723,29084,Subscriber,1942,male,
375,2018-04-08T16:37:38.812000,2018-04-08T16:43:54.291000,257,Lispenard St & Broadway,40.71939226,-74.00247214,308,St James Pl & Oliver St,40.71307916,-73.99851193,30903,Subscriber,1950,female,
649,2018-05-10T15:25:05.789000,2018-05-10T15:35:55.418000,504,1 Ave & E 16 St,40.73221853,-73.98165557,3427,Lafayette St & Jersey St,40.724305272503322,-73.996009826660156,19255,Subscriber,1996,female,
